Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0,0,0,0,0,0,0,0,90,141,378,179,219,347,253,349,628,823,804,829,789,320,370,300
Albania,598,699,734,889,1161,1290,1359,1468,1866,1718,1587,1552,1420,1282,1421,1291,1306,1312,1458,1473,1466,1718,1745,1970
Algeria,0,0,0,0,0,170,189,99,104,150,197,203,215,210,2452,1997,1989,1792,1985,1786,1700,1792,1659,1770
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,47,53,0,0
Angola,0,0,0,0,0,0,0,0,82,0,18,0,40,37,31,11,4,1,2,3,8,13,14,15
AntiguaandBarbuda,17,24,14,16,18,18,19,21,22,21,20,20,21,21,32,31,27,24,33,37,36,45,47,49
Argentina,86,190,207,273,312,432,541,606,705,629,644,697,578,535,505,494,392,480,522,561,648,901,1267,1600
Armenia,182,209,264,336,788,915,1169,1644,1904,1440,1669,1799,1915,2192,2079,1491,1382,1539,1488,1528,1327,1557,2035,1850
Aruba,1,1,1,0,1,1,1,5,7,9,5,5,5,58,59,54,53,56,37,34,35,36,38,34
Australia,518,487,466,652,825,940,1015,1342,1526,1335,1864,2449,2405,2442,2330,2175,2057,2002,1868,1763,1197,936,1298,1656
Austria,0,0,0,0,0,2314,2517,2916,3190,3102,2983,3251,3028,3262,3240,2864,2888,2957,3023,2996,3031,3224,2935,3000
Azerbaijan,57,104,163,156,204,623,790,1268,1518,1255,1410,1893,1990,1733,1846,1270,643,1133,1226,1275,1403,1527,3950,2800
"Bahamas,The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,53,58,55
Bangladesh,1968,2105,2858,3192,3584,4315,5428,6562,8941,10521,10850,12071,14120,13867,14988,15296,13574,13502,15566,18364,21752,22206,21504,23000
Barbados,113,130,125,131,129,94,87,139,101,114,82,147,152,191,189,198,158,85,85,85,85,85,85,85
Belarus,114,67,81,164,239,199,268,288,583,504,575,891,1053,1214,1231,932,977,1254,1446,1419,1014,1150,1465,1550
Belgium,0,0,4535,5778,6563,6884,7269,8992,10479,11091,10994,11729,11171,11695,12161,10465,10786,11435,12449,12330,12850,13709,13438,13185
Belize,25,28,27,32,34,45,64,73,76,79,78,75,76,74,80,85,97,90,93,97,121,135,142,151
Benin,86,83,76,55,63,147,196,241,208,126,140,172,208,249,305,214,222,196,199,217,205,231,231,233
Bermuda,0,0,0,0,0,0,1183,1450,1391,1346,1261,1175,1191,1225,1336,1445,1446,1506,1447,1547,1574,1656,1800,1800
Bhutan,0,0,0,0,0,0,2,3,4,5,8,10,18,12,14,20,34,43,58,57,83,73,88,75
Bolivia,127,135,113,158,211,337,603,1055,1135,1058,960,1043,1111,1201,1177,1191,1247,1408,1388,1336,1127,1417,1459,1473
BosniaandHerzegovina,1581,1500,1496,1738,2053,2038,2149,2687,2718,2127,1822,1958,1846,1958,2107,1801,1846,2017,2263,2333,1931,2478,2581,2850
Botswana,19,18,19,27,79,118,104,92,47,15,22,20,18,36,46,30,25,39,44,59,44,61,68,60
Brazil,1350,1449,2004,2287,2813,2805,3287,3306,3643,2889,3083,3215,2784,2718,2648,2897,2740,2699,2933,3214,3566,4102,4974,4400
BruneiDarussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Bulgaria,58,826,1177,1718,1723,1613,1716,1694,1919,1592,1333,1483,1449,1667,1685,1495,1666,2194,2408,2342,2060,1978,2033,2500
BurkinaFaso,0,0,0,0,0,57,68,84,100,96,120,221,210,308,396,385,397,417,456,467,525,571,571,579
Burundi,0,0,0,0,0,0,0,0,4,28,34,45,46,49,56,51,31,34,48,48,48,48,48,48
CaboVerde,90,81,85,108,113,137,137,139,155,136,131,177,177,176,197,201,211,217,235,215,234,315,313,317
Cambodia,103,113,123,128,147,164,184,186,188,142,557,611,855,1003,1103,1185,1199,1287,1431,2659,2588,2539,2616,2800
Cameroon,22,17,30,76,104,77,130,168,163,185,115,220,210,244,283,242,269,317,334,356,334,430,297,375
Canada,555,611,635,672,828,934,1086,1177,1299,1196,1199,1227,1255,1337,1351,1274,1289,1268,1296,1312,822,832,862,871
CaymanIslands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,14,14,9,10,10,10
Chile,13,12,12,0,0,0,0,0,0,52,62,71,72,71,61,59,65,67,70,69,66,66,69,73
China,758,1209,2353,4625,6641,23626,27565,38395,47743,41600,52460,61576,57987,59491,62332,63938,61000,63876,67414,68398,59507,53000,51000,49500
Colombia,1610,2056,2480,3076,3190,3346,3899,4460,4827,4125,4031,4101,4019,4450,4166,5002,5192,5819,6675,7115,6925,8608,9449,10160
Comoros,0,0,0,32,49,54,63,74,101,100,87,108,110,0,160,132,117,132,173,169,227,288,282,281
"Congo,Dem,Rep,",0,0,0,0,0,9,13,9,15,20,16,1128,856,1001,756,1167,593,1076,1823,2076,1196,1348,1348,1361
"Congo,Rep,",10,12,1,12,15,11,13,17,22,34,33,62,68,72,42,30,8,0,0,26,13,3,3,3
CostaRica,136,198,251,321,320,420,513,618,605,513,531,520,562,596,594,552,545,560,534,553,525,594,621,633
Coted'Ivoire,0,0,0,0,0,163,167,185,200,316,374,397,367,385,387,336,342,308,332,328,329,440,440,446
Croatia,1008,1133,1331,1566,1874,1874,1926,2229,2505,2269,2287,2524,2085,2769,2775,2677,3223,3663,4014,4280,4186,5026,5392,5699
Curacao,0,0,0,0,0,0,0,0,0,0,0,150,136,133,143,142,148,160,155,176,132,142,156,116
Cyprus,45,78,21,32,77,105,105,142,949,593,862,741,601,431,323,298,392,464,521,535,568,627,520,600
CzechRepublic,294,256,333,494,1222,1341,1603,1827,1134,1196,1229,1394,1409,1738,2628,2675,3126,3585,3936,3860,4186,4387,4153,4190
Denmark,667,699,785,941,1075,666,740,823,1052,1019,925,1150,1182,1371,1483,1258,1247,1314,1415,1451,1332,1413,1247,1094
Djibouti,12,12,15,25,25,26,28,29,30,32,33,32,33,40,38,40,40,41,60,79,64,79,55,58
Dominica,14,14,14,15,20,22,22,22,23,22,23,23,23,24,51,56,44,44,42,48,59,65,61,59
DominicanRepublic,1839,1982,2194,2325,2501,2719,3054,3397,3606,3415,3887,4241,4262,4486,4810,5196,5508,6178,6818,7421,8332,10743,10278,10500
Ecuador,1322,1421,1438,1633,1838,2460,2934,3341,3089,2742,2599,2681,2476,2459,2472,2388,2612,2849,3039,3243,3344,4367,4748,5148
