Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,0,0,0,0,0,0,0,0,217,625,789,454,324,445,524,229,168,144,235,217,225,0,0
Albania,0,0,0,4,5,7,27,10,280,230,209,151,216,191,179,153,147,106,115,120,125,140,149
Algeria,0,0,0,0,0,27,35,49,27,46,28,31,44,39,296,72,77,214,87,82,149,83,60
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,84,71,0
Angola,266,216,224,230,296,215,413,603,669,716,714,564,2051,2396,2747,1253,1176,961,682,549,576,445,518
AntiguaandBarbuda,2,2,1,1,2,2,2,2,2,2,2,2,2,2,52,53,55,55,54,48,45,53,60
Argentina,268,256,120,180,234,314,357,463,631,767,1038,1137,979,888,732,685,769,1060,1010,670,521,597,590
Armenia,4,18,23,26,184,207,182,239,224,180,227,300,315,355,391,364,358,367,341,363,304,353,605
Aruba,44,39,46,48,49,62,72,73,76,73,65,64,68,97,101,101,98,108,112,113,102,111,110
Australia,869,855,991,1381,1609,1531,2051,2981,3366,3224,4655,6598,7288,7353,6917,6033,6179,6793,7268,7438,4423,3810,6546
Austria,0,0,0,0,0,2119,2302,2592,2985,2909,2990,3623,3451,3896,4963,4750,4885,5369,6206,6423,6214,7043,7120
Azerbaijan,101,142,188,131,172,239,274,405,567,638,954,1280,2073,1903,2031,1293,740,603,580,622,732,813,812
"Bahamas,The",56,54,58,63,71,84,100,95,66,63,88,120,140,139,151,179,194,262,211,207,235,246,217
Bahrain,1013,1287,872,1082,1120,1223,1531,1483,1774,1391,1642,2050,2074,2166,2364,2367,2391,2466,3269,2890,2738,2527,2712
Bangladesh,4,4,6,7,8,6,3,3,14,8,9,12,12,20,33,32,41,47,57,83,95,100,137
Barbados,19,20,20,22,18,41,36,55,39,37,35,57,53,64,63,55,52,49,0,0,0,0,0
Belarus,10,33,49,28,47,52,70,103,171,133,116,134,142,151,181,162,124,138,160,186,245,240,236
Belgium,0,0,1629,2097,2342,2426,2565,3202,4124,4292,4142,4504,4303,4548,5251,4441,4565,4747,5611,5336,6059,7105,7031
Belize,6,16,17,20,18,19,21,21,28,23,22,24,26,32,33,41,45,46,43,42,42,42,41
Benin,9,10,7,5,6,34,61,108,75,70,63,62,88,101,144,98,88,73,94,87,92,100,0
Bermuda*,0,0,0,0,0,0,172,178,191,213,239,215,217,219,224,187,214,218,198,199,183,159,0
Bhutan,0,0,0,0,0,0,75,61,61,48,71,92,74,58,52,55,53,53,58,65,48,27,34
Bolivia,37,36,38,46,51,67,73,79,106,103,102,117,147,172,180,210,222,233,252,275,216,294,319
BosniaandHerzegovina,2,11,14,20,62,40,55,65,55,55,46,52,47,48,47,56,61,64,84,84,97,106,103
Botswana,134,129,130,186,99,107,97,99,58,60,100,122,124,97,105,95,80,81,63,99,182,243,210
Brazil,338,345,329,296,339,374,529,563,813,731,1024,1124,1064,1150,1539,1339,1385,2238,2253,2232,1608,1755,2238
BruneiDarussalam,0,0,89,97,354,376,405,430,420,445,0,0,0,0,0,0,0,0,0,0,10,10,10
Bulgaria,26,27,14,13,29,35,50,103,162,101,90,105,107,162,169,115,127,163,195,205,189,157,188
BurkinaFaso,0,0,0,0,0,84,86,93,100,100,112,42,71,149,161,181,188,199,209,197,202,203,0
Burundi,2,2,3,3,0,0,0,0,0,1,5,6,5,7,15,21,19,16,19,0,0,0,0
CaboVerde,0,0,2,7,12,5,6,6,10,12,8,9,10,10,11,14,36,44,40,37,37,35,30
Cambodia,60,52,70,56,56,128,120,118,171,159,163,192,265,297,360,314,357,324,310,279,226,259,302
Cameroon,30,42,56,57,42,56,92,90,57,130,54,81,73,65,82,76,81,84,89,86,102,40,32
Canada,1697,1775,1971,2242,2611,3262,3287,4567,4859,4662,5290,5558,5629,5702,5948,5114,5256,6483,7578,8763,7458,8078,8328
CaymanIslands*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,395,449,501,492,512,0
Chile,16,16,16,4,4,3,3,3,3,104,149,177,238,310,304,386,346,492,624,723,616,637,676
China,754,936,1173,1597,1998,1817,2330,2493,2736,2052,1455,1618,1788,1714,4155,5718,6211,16253,16548,15135,18296,22958,18256
Colombia,219,204,158,65,51,56,66,95,88,124,151,223,246,278,399,334,259,292,313,348,254,386,419
Comoros,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,2,5,5,1,3,4
"Congo,Dem,Rep,",0,0,0,0,0,32,32,26,37,31,57,813,670,920,451,851,450,532,914,1004,746,731,0
"Congo,Rep,",37,32,35,39,49,66,81,58,54,64,70,54,51,57,67,68,402,0,0,48,49,0,0
