"Bilateral Remittance Estimates for 2021 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (December 2022 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across)                                                              -                                                 Remittance-sending country (down) ,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,WORLD
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0
Solomon Islands,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,0,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,,,,,,,,4
Greenland,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,,273,,,,,,,,,,,,,,0,0,,,,,0,,0,,,,,,,,,,,0,1,0,,,,0,,,0,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,0,,,,,,,,2,0,0,,,0,0,,,,,,,,,,,,0,,,,,,0,0,,,,,,,1,0,,,,2,,,,,,0,,,,,0,,0,0,,,,,0,,,,,,280
Kiribati,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,1
Maldives,,,,,,,,,,,0,0,,,,105,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,62,,,,,,,1,,1,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,0,1,,,,2,,,,,,,,,,,,,0,0,,,,,,,,,,,200
Mauritius,,,,,,,,,,,,,,,,24,,,3,,,,,,,,,,,,,,,,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,1,,,,,,,,,,,,0,,,40,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,1,,0,3,,,,,,,,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,114
Timor-Leste,,,,,,,,,,,1,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,1,,,,,,17
Faeroe Islands,0,0,,,,,,0,0,,0,0,,,,0,,0,0,,,,,0,0,,0,,0,0,0,,0,,0,,,,,0,0,0,,,,0,0,0,,,,0,22,,,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,,,,0,,,,0,0,0,0,1,0,0,,0,0,,0,0,0,0,0,,0,,,0,,0,0,,0,0,,0,,,0,,,0,,0,,,0,,,0,0,,0,,,0,0,,0,0,0,0,,0,,,0,0,,1,,0,,0,,0,0,2,0,0,,0,1,0,,,,,0,0,0,,0,,,0,,,,0,,0,0,,,,0,,,1,,,,0,1,,0,,0,0,0,,,,0,0,,0,0,,,,,0,,,,0,,33
Belarus,0,,0,,,,,0,10,,0,0,17,,,,,,1,,,,,,,,0,,0,,,,,,0,,,,,,,,,,,,,,,,,0,1,,,,,,,,,9,,0,,,6,,,,,24,0,,0,,,,,,,,,,,2,,0,,,,0,,8,0,,,0,5,,,,0,,,16,,34,0,,,,,21,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,0,,0,,,,,,,1,,,,0,594,,,,,,,0,,,,,0,,,,,,0,,,,,,,,3,0,,25,,,,,,,,0,,,,,619,,0,0,0,,,,2,,,,,,1413
Georgia,0,0,0,,,,,0,22,,,0,7,,,,,1,1,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0,,,,,0,1,,,,,3,,0,,,,,,,,,,,0,,0,,,,,,1,0,,,,0,,,,,,,1,,1,0,,,,,0,,,,,,,,,,,,,,1,,0,,,,,,0,0,,,,,,,,,,0,,,,,0,,0,,,,0,33,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,1,,,,,,,,0,,,,,33,,0,0,,,,,,,,,,,108
